Season,Team,W,L,Win Rate,OBP,SLG,ERA
2024,COL,61,101,0.37654321,0.303681492,0.400256692,0.8945275044400809
2023,COL,59,103,0.364197531,0.310110872,0.404657933,0.9526902162734558
2022,COL,68,94,0.419753086,0.315392189,0.397653429,0.7777498316926843
2021,COL,74,87,0.459627329,0.316663869,0.414402679,0.7053246367147046
2020,COL,26,34,0.433333333,0.311081441,0.404958677,0.9260783998181088
2019,COL,71,91,0.438271605,0.326222935,0.45565371,0.9224507176709338
2018,COL,91,72,0.558282209,0.322033898,0.435300487,0.563080304862881
2017,COL,87,75,0.537037037,0.33773216,0.44362125,0.6154941148915787
2016,COL,75,87,0.462962963,0.336137172,0.457427858,0.7319293269566303
2015,COL,68,94,0.419753086,0.31524805,0.432340272,0.7676341447081809
2014,COL,66,96,0.407407407,0.326945126,0.445117605,0.7139701255149744
2013,COL,74,88,0.456790123,0.322654838,0.418467583,0.5935280893578987
2012,COL,64,98,0.395061728,0.329727958,0.436435359,0.8176501318862672
2011,COL,73,89,0.450617284,0.329193548,0.409812409,0.5939721580910287
2010,COL,83,79,0.512345679,0.33564181,0.42477396,0.50728564946853
2025,DET,10,8,0.555555556,0.323232323,0.395149786,0.3268399226392093
2024,DET,86,76,0.530864198,0.299617368,0.385336273,0.3598002787222989
2023,DET,78,84,0.481481481,0.304813715,0.381526104,0.5375738586394958
2022,DET,66,96,0.407407407,0.286348122,0.345667534,0.4785506576559739
2021,DET,77,85,0.475308642,0.307550335,0.399181547,0.5589199006499288
2020,DET,23,35,0.396551724,0.303424987,0.396724775,0.9372628721372158
2019,DET,47,114,0.291925466,0.293864013,0.38817805,0.8296401937229998
2018,DET,64,98,0.395061728,0.300299301,0.379504914,0.6394822207227173
2017,DET,64,98,0.395061728,0.32420984,0.42386609,0.8595791152329173
2016,DET,86,75,0.534161491,0.330932896,0.438110749,0.5371335649341364
